id,semestre,codigo,nombre,tipo,requisitos,correquisitos,creditos,HC,HE
CIB0401,4,MA2104,Cálculo superior,Teórico,MA1103,,4,4,8
CIB0402,4,CM3207,Métodos numéricos para ingeniería,Teórico,MA2105,,3,4,5
IEE0403,4,EE0403,Análisis de circuitos II,Teórico,EE0304; EE0303,,3,4,5
IEE0404,4,EE0404,Laboratorio de circuitos II,Práctico,,EE0403,1,2,1
IEE0405,4,EE0405,Instrumentación,Teórico - Práctico,EE0305,,2,3,3
IMM0407,4,EE0407,Termodinámica,Teórico,FI2103,,3,4,5
FPH0408,4,CS4402,Seminario de estudios costarricenses,Teórico,CS3404,,2,3,3
FPH0409,4,SE1200,Actividad deportiva I,Práctico,,,0,2,0
FPH0501,5,AE4208,Desarrollo de emprendedores,Teórico,CS4402,,4,4,8
ADD0502,5,PI0502,Estadística aplicada,Teórico,MA2104,,2,3,3
IEE0503,5,EE0503,Sistemas analógicos,Teórico - Práctico,EE0303,,2,4,2
AUT0504,5,EE0504,Modelado y simulación de sistemas,Teórico - Práctico,EE0307; EE0405,,3,4,5
IMM0506,5,ME2208,Ciencia de los materiales,Teórico,QU1902; FI1102,EE0507,3,3,6
IMM0507,5,EE0507,Manufactura,Teórico,EE0307,,2,3,3
IMM0508,5,EE0508,Laboratorio de manufactura,Teórico - Práctico,,EE0507,2,4,2
CYD0601,6,CI3202,Inglés para mecatrónica,Teórico,,,1,3,0
ADD0602,6,EE0602,Fiabilidad y disponibilidad de sistemas electromecánicos,Teórico,PI0502,,2,3,3
IEE0604,6,EE0604,Sistemas digitales,Teórico - Práctico,EE0503,,2,4,2
IMM0605,6,EE0605,Resistencia de materiales,Teórico,ME2208,,3,4,5
IMM0606,6,CM4108,Transferencia de calor,Teórico,ME2208; EE0407,,3,4,5
IMM0607,6,EE0607,Mecánica de fluidos,Teórico,MA2105; EE0504,CM4108,3,4,5
IMM0608,6,EE0608,Laboratorio de mecánica de fluidos,Práctico,,EE0607,1,2,1
CYD0609,6,EE0609,Dibujo industrial,Teórico,EE0508,,3,4,5
FPH0701,7,EE0701,Administración de proyectos,Teórico,AE4208; EE0602,,2,3,3
IEE0702,7,EE0702,Máquinas eléctricas I,Teórico,EE0403,,3,4,5
IEE0703,7,EE0703,Laboratorio de máquinas eléctricas I,Práctico,,EE0702,1,2,1
AUT0704,7,EE0704,Control automático,Teórico,EE0504; EE0503,,3,4,5
AUT0705,7,EE0705,Microcontroladores,Teórico - Práctico,EE0604,EE0704,2,3,3
IMM0706,7,EE0706,Elementos de máquinas,Teórico,EE0605; EE0609,,3,4,5
IMM0707,7,EE0707,Sistemas térmicos,Teórico,EE0607; EE0609,,3,3,6
IMM0708,7,EE0708,Laboratorio de sistemas térmicos,Práctico,,EE0707,1,2,1
IEE0802,8,EE0802,Máquinas eléctricas II,Teórico,EE0703; EE0702,,3,4,5
IEE0803,8,EE0803,Laboratorio de máquinas eléctricas II,Práctico,,EE0802,1,2,1
AUT0804,8,EE0804,Control por eventos discretos,Teórico,EE0704; EE0705,,3,4,5
AUT0805,8,EE0805,Laboratorio de control,Práctico,,EE0804,1,2,1
FPH0809,8,SE1400,Actividad cultural - deportiva,Práctico,,,0,2,0
INS0801,8,EE4801,Sistemas eléctricos de transmisión y distribución,Teórico,,EE0802,3,4,5
INS0806,8,EE4806,Instalaciones eléctricas,Teórico,EE0702,EE4807,3,4,5
INS0807,8,EE4807,Ventilación y aire comprimido,Teórico,EE0707; EE0708,,2,3,3
INS0808,8,EE4808,Mantenimiento electromecánico,Teórico,EE0701,,1,2,1
INS0901,9,EE4901,Sistemas de generación y almacenamiento de energía,Teórico,EE4801,,3,4,5
INS0903,9,EE4903,Sistemas de refrigeración y aire acondicionado,Teórico,EE0707; EE0708,,3,3,6
INS0904,9,EE4904,Laboratorio de refrigeración y aire acondicionado,Práctico,,EE4903,1,2,1
INS0905,9,EE1101,Seminario de graduación I,Teórico - Práctico,EE0701,,3,4,5
INS0906,9,EE4906,Instalaciones mecánico-sanitarias,Teórico,EE4807,,3,4,5
INS0907,9,EE4907,Laboratorio de sistemas de fluidos,Práctico,,EE4906,1,2,1
INS0908,9,EE4908,Sistemas de vapor,Teórico,EE4807,,3,4,5
INS0909,9,EE4909,Laboratorio de sistemas de vapor,Práctico,,EE4908,1,2,1
INS1003,10,EE5003,Gestión de la energía,Teórico,EE4908; EE4901,,3,4,5
INS1001,10,EE1103,Electiva I,Teórico,,,3,4,5
INS1002,10,EE1104,Electiva II,Teórico,,,3,4,5
INS1005,10,EE1102,Seminario de graduación II,No aplica,EE1101,,4,0,12
INS1006,10,EE5006,Gestión del ciclo de vida de instalaciones electromecánicas,Teórico - Práctico,EE4906,,3,4,5
INS1007,10,EE5007,Neumática y oleohidráulica,Teórico - Práctico,EE4907,,2,3,3
INS1201,12,EE5201,Sistemas de puesta a tierra,Teórico,EE4806,,3,4,5
INS1202,12,EE5202,Sistemas contra incendios,Teórico,EE4906,,3,4,5
INS1203,12,EE5203,Edificios inteligentes,Teórico,EE0805,,3,4,5
INS1301,13,EE6901,Aviónica,Teórico - Práctico,,EE6801,3,4,5
INS1302,13,EE6801,Sistemas de la aeronave,Teórico,EE0802,,3,4,5
INS1303,13,EE6902,Aerodinámica,Teórico - Práctico,EE4907,EE6801,3,4,5
INS1401,14,EE8907,Automatización y digitalización industrial,Teórico - Práctico,,EE8807,3,4,5
INS1402,14,EE8807,Aplicaciones de sistemas embebidos,Teórico - Práctico,EE0705,,3,4,5
INS1403,14,EE8903,Aplicaciones de Inteligencia Artificial,Teórico - Práctico,,EE8807,3,4,5
AER0801,8,EE6801,Sistemas de la aeronave,Teórico,,EE0802,3,4,5
AER0806,8,EE0806,Máquinas y mecanismos,Teórico,EE0706,,3,4,5
AER0807,8,EE6807,Materiales en aeronáutica,Teórico,,EE0806,2,3,3
AER0808,8,EE6808,Metrología aeronáutica,Teórico - Práctico,EE0706,,1,2,1
AER0901,9,EE6901,Aviónica,Teórico - Práctico,EE6801,,3,4,5
AER0902,9,EE6902,Aerodinámica,Teórico - Práctico,EE0707,,3,4,5
AER0903,9,EE6903,Dinámica de vuelo,Teórico - Práctico,,EE6902,3,4,5
AER0905,9,EE1101,Seminario de graduación I,Teórico - Práctico,EE0701,,3,4,5
AER0906,9,EE6906,Análisis mecánico de estructuras de la aeronave,Teórico,EE0806; EE6807,EE6903,3,4,5
AER0908,9,EE6908,Seguridad aeronáutica y aeronavegabilidad,Teórico,EE6808,,3,4,5
AER1001,10,EE7001,Gestión del ciclo de vida de la aeronave,Teórico,EE6901; EE6908,,2,3,3
AER1002,10,EE7002,Sistemas de propulsión,Teórico - Práctico,EE6902,,3,4,5
AER1003,10,EE7003,Control automático de vuelo,Teórico - Práctico,EE6902; EE6903,,3,4,5
AER1005,10,EE1102,Seminario de graduación II,No aplica,EE1101,,4,0,12
AER1007,10,EE1103,Electiva I,Teórico,,,3,4,5
AER1008,10,EE1104,Electiva II,Teórico,,,3,4,5
AER1201,12,EE7201,Infraestructura y servicios aeroportuarios,Teórico,,EE7001,3,4,5
AER1202,12,EE7202,Telemetría y comunicaciones para aeronáutica,Teórico,EE6908,,3,4,5
AER1203,12,EE7203,Manufactura en la cadena de valor aeroespacial,Teórico,EE6807,,3,4,5
AER1301,13,EE5006,Gestión del ciclo de vida de instalaciones electromecánicas,Teórico,,EE4806,3,4,5
AER1302,13,EE4806,Instalaciones eléctricas,Teórico,EE0702,,3,4,5
AER1303,13,EE5003,Gestión de la energía,Teórico,,EE4806,3,4,5
AER1401,14,EE8907,Automatización y digitalización industrial,Teórico - Práctico,,EE8807,3,4,5
AER1402,14,EE8807,Aplicaciones de sistemas embebidos,Teórico - Práctico,EE0705,,3,4,5
AER1403,14,EE8903,Aplicaciones de Inteligencia Artificial,Teórico - Práctico,,EE8807,3,4,5
SCF0801,8,EE8104,Ingeniería de sistemas,Teórico - Práctico,EE0701,,3,4,5
SCF0806,8,EE0806,Máquinas y mecanismos,Teórico,EE0706,,3,4,5
SCF0807,8,EE8807,Aplicaciones de sistemas embebidos,Teórico - Práctico,EE0705,,3,4,5
SCF0808,8,EE8808,Fundamentos de ciberseguridad,Teórico,,EE8807,1,2,1
SCF0901,9,EE8901,Modelado numérico y simulación computacional,Teórico - Práctico,EE0707; EE8104,,3,4,5
SCF0902,9,EE8902,Aplicaciones de circuitos integrados,Teórico - Práctico,EE0805,,2,3,3
SCF0903,9,EE8903,Aplicaciones de Inteligencia Artificial,Teórico - Práctico,EE8807,,3,4,5
SCF0905,9,EE1101,Seminario de graduación I,Teórico - Práctico,EE0701,,3,4,5
SCF0906,9,EE8906,Robótica,Teórico - Práctico,EE0806,EE8907,3,4,5
SCF0907,9,EE8907,Automatización y digitalización industrial,Teórico - Práctico,EE8807,,3,4,5
SCF1001,10,EE9001,Taller de integración de sistemas,Práctico,EE8901; EE8902,,2,4,2
SCF1002,10,EE9002,Diseño de interfases humano-máquina,Teórico - Práctico,,EE9001,3,4,5
SCF1005,10,EE1102,Seminario de graduación II,No aplica,EE1101,,4,0,12
SCF1007,10,EE9007,Visión de máquina,Teórico - Práctico,,EE8907,3,4,5
SCF1008,10,EE1103,Electiva I,Teórico,,,3,4,5
SCF1009,10,EE1104,Electiva II,Teórico,,,3,4,5
SCF1201,12,EE9201,Sistemas autónomos y multiagente,Teórico - Práctico,EE8903; EE8906,,3,4,5
SCF1202,12,EE9202,Análisis predictivo de series temporales,Teórico - Práctico,EE8903,,3,4,5
SCF1203,12,EE9302,Desarrollo de software para aplicaciones críticas,Teórico - Práctico,EE8808,,3,4,5
SCF1301,13,EE6901,Aviónica,Teórico - Práctico,,EE6801,3,4,5
SCF1302,13,EE6801,Sistemas de la aeronave,Teórico,EE0802,,3,4,5
SCF1303,13,EE6902,Aerodinámica,Teórico - Práctico,EE0707,EE6801,3,4,5
SCF1401,14,EE5006,Gestión del ciclo de vida de instalaciones electromecánicas,Teórico,,EE4806,3,4,5
SCF1402,14,EE4806,Instalaciones eléctricas,Teórico,EE0702,,3,4,5
SCF1403,14,EE5003,Gestión de la energía,Teórico,,EE4806,3,4,5
LEM0001,15,EE1501,Trabajo final de graduación,Práctico,,,7,21,0
